"Betreiber","Gesamtstationen","Prozentsatz"
"Stadtwerke Heidelberg Energie GmbH","48","64.00"
"HEG Heidelberger Energiegenossenschaft eG","5","6.67"
"Mercedes-Benz AG - Niederlassung Mannheim-Heidelberg-Landau","4","5.33"
"ALDI SÃœD","3","4.00"
"APCOA PARKING Deutschland GmbH","3","4.00"
"SBW Betreibergesellschaft GmbH","3","4.00"
"EWE Go GmbH","2","2.67"
"Charge-ON GmbH","2","2.67"
"EMBL Heidelberg","2","2.67"
"Augustinum Energiemanagement GmbH","1","1.33"
"Sparkasse Heidelberg","1","1.33"
"Comfortcharge GmbH","1","1.33"
